Company,Date,Revenue,Expenses,Net_Income,Sector,Market_Cap
Apple Inc,2024-03-31,123000000000,95000000000,28000000000,Technology,2800000000000
Microsoft Corp,2024-03-31,61900000000,45100000000,16800000000,Technology,2900000000000
Amazon.com Inc,2024-03-31,143300000000,135200000000,8100000000,E-commerce,1600000000000
Alphabet Inc,2024-03-31,80500000000,66300000000,14200000000,Technology,1700000000000
Tesla Inc,2024-03-31,25200000000,22700000000,2500000000,Automotive,800000000000
Meta Platforms,2024-03-31,40700000000,32800000000,7900000000,Technology,1200000000000
Berkshire Hathaway,2024-03-31,92500000000,85600000000,6900000000,Financial,850000000000
Johnson & Johnson,2024-03-31,21400000000,16800000000,4600000000,Healthcare,450000000000
JPMorgan Chase,2024-03-31,42300000000,35200000000,7100000000,Financial,520000000000
Procter & Gamble,2024-03-31,20900000000,16200000000,4700000000,Consumer Goods,380000000000